Key,Value
52,يتجاوز هذا أقصى سعة للألماس.
53,@NotEnoughFreeDiamondStorage
54,لا يوجد توباز كافٍ.
55,لا توجد مواد كافية لصنع العنصر.
56,ميت حاليًا.
57,"مسموح بـ 4-16 حرفًا فقط.
(2-8 في حال تضمين أحرف كورية أو صينية)"
58,"لا يمكنك إضافة أي مسافات.
أدخل اسمًا آخرًا."
59,عملة SP غير كافية.
60,امتلأت سعة العملة أدينا لديك.
61,وصلت سعة العملة كلان لديك إلى قيمتها القصوى.
62,املأ المزيد من صفحة الأحرف الرونية السابقة.
63,لا توجد نقاط صداقة كافية.
64,نوع مكافأة غير صالح.
65,مذهول حاليًا.
66,المعركة دائرة.
67,لا يمكن تحديد هذه الفئة أثناء إنشاء الشخصية.
68,تم تجاوز سعة الولاء.
69,جارٍ الانتظام في طابور.
70,لا يمكنك استخدام أدوات.
71,لا يمكنك استخدام رمز الأمان ذو الصلة هذه المرة.
72,"تم تقييد هذا المحتوى.
لا يمكنك الدخول."
73,قيمة فئة أساسية غير صحيحة.
74,"هذه الشخصية هي رئيس القبيلة.
يمكن حذف شخصية رئيس القبيلة بعد انتقال السلطة أو مغادرة القبيلة."
75,الألماس الأزرق غير كافٍ.
76,الألماس الأحمر غير كافٍ.
77,هدف مقيَّد.
78,المحادثة ممنوعة حاليًا.
79,يتعذر الدخول لوجود حد معين لعدد اللاعبين المشاركين.
80,الأحجار النجمية الحمراء الخاصة بالقبيلة غير كافية.
81,متوفر بعد نقل الفئة.
82,"هذا الاسم المستعار مسجّل من قبل.
انتقل إلى خطوات التحقق إذا كنت قد سجلت الدخول من قبل."
83,اسم مستعار غير صالح.
84,تم حذف هذا اللاعب.
85,عالم خفي.
86,قيمة الحساب فارغة.
87,قيمة الرمز فارغة.
100,تم قطع الاتصال نظرًا لصيانة الخادم.
101,"بانتظار استدعاء القوات.
لا يمكنك استدعاء القوات حتى الآن."
102,القناة ممتلئة.
103,تقييد تغيير الوقت.
201,يتعذر إتمام الإنجاز.
202,لا توجد إنجازات.
203,لقد حصلت بالفعل على مكافأة مستوى الإنجاز.
251,رسالة المحادثة غير صالحة
252,معرف رسالة المحادثة غير صحيح.
253,معرف المعلومات الإضافية للمحادثة غير صحيح.
254,نوع دعاية المحادثة غير صحيح.
255,قيد فترة التوقف.
256,في قائمة حظر المحادثة بالفعل.
257,ليس في قائمة حظر المحادثة.
258,مسجّل في قائمة حظر المحادثة.
259,لقد حظرك المتلقي.
301,هذه هي فترة توقف المهارة.
302,إنشاء أول حساب
303,فشل في التحقق من المهارة المستخدمة سابقًا.
370,معلومات تسجيل الوصول غير صحيحة.
371,معرف معلومات تسجيل الوصول غير صحيح.
372,معرف مكافأة تسجيل الوصول غير صحيح.
373,لقد قمت بتسجيل الوصول بالفعل.
374,لقد حصلتَ على المكافأة بالفعل.
375,لا توجد فترة مكافأة نشطة لتسجيل الوصول الأسبوعي.
401,معرف العنصر غير صحيح.
402,@InvalidItemInfoId
403,لا يمكن تعزيز هذا العنصر.
404,لا توجد أجزاء كافية.
405,لا توجد عناصر كافية.
406,يتوفر كل من الدمج والترقية بدءًا من المستوى الخامس.
407,لا يوجد تعزيز مخطوطات كافٍ.
408,لا يمكن التعزيز بعد الآن.
409,فشل في تعزيز المعدات.
410,"تم إغلاق المعدات بإحكام.
يتعذر تعزيز المعدات محكمة الإغلاق."
411,يمكن إطلاق المعدات محكمة الإغلاق فقط.
412,تم التزويد بهذه المعدات بالفعل.
413,لم يتم التزويد بهذه المعدات.
414,لا توجد فتحات كافية في مستودعك.
415,يتعذر استخدام المعدات المزودة بالفعل.
-1,يتعذر تحرير ختم هذه المعدات.
417,تتعذر ترقية هذه المعدات.
418,تتعذر ترقية هذه المعدات بعد الآن.
419,يتعذر دمج هذه المعدات بعد الآن.
420,즐겨찾기' 아이템은 사용할 수 없습니다.
421,"تتضمن المواد المطلوب دمجها أنواعًا مختلفة.
يمكنك فقط دمج المعدات ذات النوع الواحد."
422,"تتضمن المواد المطلوب دمجها رتبًا مختلفة.
يمكنك فقط دمج المعدات ذات الرتبة الواحدة."
423,مؤشر المواصفات الفرعية غير صحيح.
424,لا يمكن استخدام هذا العنصر.
425,لا يمكن تعزيز هذه المعدات بالتعويذات بعد الآن.
426,هذه ليست معدات.
427,لا توجد مواد كافية للترقية.
428,لا يمكن توسيع مستودعك حتى الآن.
429,معرف عنصر المادة غير صحيح.
430,هذه ليست مخطوطة تعزيز.
431,معرف معلومات العنصر مختلف.
432,لا يمكن مخالفة حدود هذا العنصر.
433,لا يمكن مخالفة حدود هذا العنصر بعد الآن.
434,هذه ليست بلورة مسكونة.
435,مؤشر فتحة العنصر غير صحيح.
436,تم بالفعل التزويد بهذا النوع من البلورة المسكونة.
437,لقد وصل العنصر إلى أعلى مستوى بالفعل.
438,ليس لهذا العنصر أي مواصفات فرعية.
439,ليس لهذا العنصر أي سمات.
440,السمات غير متوافقة.
441,فشل في تعزيز سمة العنصر.
442,لا يمكن استخدام المزيد من الأكاسير.
443,مجموعة أو نوع صنع العنصر غير صحيح.
444,لا توجد مواد كافية لصنع العنصر.
445,لا توجد بلورات حماية كافية.
446,نوع المعدات غير صحيح.
447,مؤشر مجموعة البطاقات غير صحيح.
448,مجموعة بطاقات المعدات هذه مستخدَمة بالفعل.
449,الخادم مختلف عن مجموعة البطاقات.
450,فشل صنع العنصر نظرًا لعدم وجود مساحة كافية في فتحة المستودع.
451,يتعذر استخدام معلومات الجدول.
452,مخطط الوحش هذا مكتمل بالفعل.
453,You do not have any unbound Monster Cores in your Inventory.
454,معرف مجموعة غير صحيح.
455,مجموعة مخطط الوحش مكتملة بالفعل.
456,لا توجد مخططات وحوش للعمل عليها.
457,نوع مكافأة الاستراحة غير صحيح.
458,لا توجد نقاط استراحة كافية.
459,نوع عملة الاستخدام الإضافي مختلفة.
460,نوع المواصفات الفرعية لعنصر المخطوطة المنسية غير صحيح.
461,ليس عنصر مخطوطة منسية.
462,يتعذر استخدام عناصر المخطوطة المنسية.
463,المهارة في أعلى مستوى بالفعل.
464,عدد المواد غير صحيح.
465,هذا نوع مختلف من مخطوطة التعزيز.
466,يتعذر استخدامه نظرًا لاكتمال نقطة الضرب لديك.
467,يتعذر استخدامه نظرًا لاكتمال نقطة المانا لديك.
468,يتعذر الصنع بعد الآن.
469,لا توجد مخطوطات هروب كافية.
470,صندوق المفاجآت فارغ.
471,لا توجد بلورات مسكونة مزوَّدة.
472,لا يمكن استخدام هذا الإكسير.
473,سمة المعدات في أعلى مستوى.
474,هذا العنصر ليس من النوع المزود بمكبر صوت.
475,نوع تأثير البلورة المسكونة غير صحيح.
476,معرف معلومات سقوط العنصر غير صحيح.
477,لقد بلغت العدد اليومي المسموح به.
478,لا يمكن استخدامه أثناء فترة التوقف.
479,هذه المعدات ليست لفئتك وبالتالي لا يمكنك التزود بها.
480,الانتقال عن بُعد.
481,لم تتم إزالة الأسلحة. استبدله بسلاح آخر.
482,في أعلى مستوى بالفعل.
483,تم تنشيط نفس نوع طلقة الروح بالفعل.
484,في الميدان.
485,يتعذر استدعاء حجر استدعاء الشر هنا.
486,يتعذر استخدامها بعد الآن نظرًا لأن القيمة المضطربة بلغت صفرًا.
487,يتعذر الاكتساب بعد الآن.
488,يتجاوز الحد الأقصى للكمية المسموح ببيعها في المرة الواحدة.
489,خانة مواصفات فرعية غير صحيحة.
490,يتعذر صنع هذا العنصر باستخدام معدات.
491,مستوى العنصر الخاص بصنع معدات منخفض جدًا.
492,رتبة العنصر الخاصة بصنع معدات منخفضة جدًا.
493,يتعذر بيع هذا العنصر.
501,يتعذر استلام البريد.
502,"صندوق البريد لديك ممتلئ.
احصل على المكافأة وضَعها في صندوق البريد
ثم حاول مرة أخرى."
503,"تعذر الحصول على المكافأة بسبب امتلاء صندوق البريد.
حاول مرة أخرى بعد أن تُفسح مجالاً في صندوق البريد."
511,نقاط الأنشطة اليومية غير كافية.
512,معرف مكافأة الأنشطة اليومية غير صحيح.
513,معرف مجموعة مكافأة الأنشطة اليومية غير صحيح.
514,لا توجد مكافآت للحصول عليها.
521,معرف المعلومات المكتملة حاليًا غير صحيح.
522,هذا ليس معرفًا للمعلومات المكتملة حاليًا.
523,معرف مجموعة المكافأة المكتملة حاليًا غير صحيح.
531,نوع طلب المهمة غير صحيح.
532,نوع معلومات طلب المهمة غير صحيح.
533,يتعذر بدء المهمة الآن.
534,يتعذر الإتمام الآن.
535,لا توجد مهمة قيد التقدم حاليًا.
536,تم إتمام هذه المهمة بالفعل.
537,لا توجد مهام يومية يمكنك تجديدها.
538,لا توجد مهمة أسبوعية قيد التقدم.
539,@NoMoreDailyActivityRewardGet
540,توجد مهمة أسبوعية أخرى قيد التقدم بالفعل.
541,لقد استنفدت عدد المهام اليومية لهذا اليوم.
601,معرف معلومات المقاطعة غير صحيح.
602,معرف معلومات الموقع غير صحيح.
603,معرف معلومات المنطقة غير صحيح.
604,معرف معلومات المهمة غير صحيح.
605,المهمة قيد التقدم بالفعل.
606,المهمة ليست قيد التقدم.
607,يتعذر إتمام المهمة.
608,لم يتم إتمام المهمة الأساسية.
609,لا توجد بطاقات مهام كافية.
610,عدد مرات إتمام المهمة غير كافٍ.
611,لم يتم إجراء أي تغييرات على المهمة.
612,لم يتم إخلاء المنطقة.
613,لم يتم إخلاء بقعة المنطقة.
614,مهمة فاشلة.
615,لم تفشل المهمة.
616,لا يمكنك استدعاء القوات أثناء هذه المهمة.
617,معرف الأدوات غير صحيح.
618,المسافة بعيدة جدًا.
619,لا توجد أي شخصيات خارج سيطرة اللاعب.
620,حالة المهمة غير صحيحة.
621,اكتملت المهمة بالفعل.
622,لا يوجد مسح تلقائي كافٍ للمهمة.
623,معلومات مكافأة مهمة الغزو غير صحيحة.
624,لا توجد نجوم كافية لجلاء الغزو.
625,لم تكتمل ولو لمرة واحدة.
626,هذه ليست مهمة غزو.
627,بطاقة المهمة في أعلى مستوى بالفعل.
628,حساب إعادة شحن بطاقة المهمة بلغ أعلى قيمة بالفعل.
629,يجب أن تحصل على 3 نجوم على الأقل حتى تتمكن من استخدام المسح التلقائي في تلك المرحلة.
630,تم استنفاد مرات التحكم في الأداة.
631,الأداة متحكم فيها بالفعل.
632,رقم أداء المهمة غير صحيح.
633,أداء المهمة غير مكتمل حتى الآن.
634,تم بالفعل الحصول على مكافأة نظير إتمام أداء المهمة.
635,تم بالفعل الحصول على مكافأة نظير إتمام تقدم أداء المهمة.
636,حساب مخطوطة المهمة غير كافٍ.
637,حساب إعادة ضبط مخطوطة المهمة غير كافٍ.
701,"المهارة في أعلى مستوى.
حاول مرة أخرى بعد رفع مستوى الشخصية."
702,معرف مجموعة بطاقات المهارة غير صحيح.
703,فشل تغيير مجموعة بطاقات المهارة.
704,يتعذر استخدام المهارة مع هذا السلاح.
801,هذا اللاعب صديق بالفعل.
802,لقد أرسلت طلبًا بالفعل.
803,لم تتلقَ طلب صداقة.
804,ليس صديقًا.
805,يتعذر العثور على صديق.
806,قائمة الأصدقاء لديك ممتلئة.
807,فتحات طلبات الصداقة التي تم تلقيها ممتلئة.
808,لا يمكنك تحية نفسك.
809,لقد قدمت تحياتك بالفعل.
810,لا يمكن طلب نفسك.
811,فشل إنشاء قائمة أصدقاء موصى بهم.
812,"ليس صديقًا.
تتوفر المحادثة 1:1 بين اللاعبين الأصدقاء فقط."
813,ليس لديك أي تحية من الأصدقاء.
814,هذا اللاعب لم يكمل البرنامج التعليمي للأصدقاء بعد.
815,تم قبول طلب الصداقة.
816,لقد بلغت الحد اليومي للتحيات.
817,ليس لديك أي أصدقاء لتحيتهم.
818,قائمة أصدقاء هذا اللاعب ممتلئة.
819,لقد أرسلت بالفعل طلبات صداقة كثيرة للغاية.
847,Only the Party Leader can request to enter.
848,Already participating in a dungeon.
849,Action cannot be completed while in a party.
850,لقد دعوت هذا اللاعب بالفعل.
851,هذا الفريق غير موجود.
852,لم تتم دعوتك إلى فريق.
853,في فريق بالفعل.
854,أنت لا تنتمي إلى فريق.
855,قائد الفريق غير متصل.
856,لا يمكنك التنقل هنا.
857,أنت قائد الفريق بالفعل.
858,ليست لديك السلطة.
859,لا يمكنك فعل هذا لنفسك.
860,الفريق مكتمل.
861,غير متصل.
862,لم تطلب الانضمام إلى فريق.
863,يوجد الهدف في منطقة لا يمكنك الذهاب إليها أو في منطقة يتعذر استدعاؤه منها.
864,ليس في غرفة.
865,يتعذر تنفيذها هنا.
866,يتعذر تكوين فريق أثناء حصار القلعة/ حصار الحصن.
867,أعضاء الفريق غير كافين.
868,يمكن لقائد الفريق وحده الإلغاء.
869,هذا المستخدم لم يكمل بعد البرنامج التعليمي للفريق.
870,جارٍ مطابقته بالفعل.
871,في منطقة يتعذر استخدام البحث السريع فيها.
872,يتعذر التنفيذ داخل سرداب مماثل.
873,ليس فريقًا.
874,يتعذر التنفيذ.
875,غير مدرج في قائمة انتظار لدخول سرداب الفريق.
876,يتعذر العثور على عضو هذا الفريق.
877,أعضاء الفريق غير كافين.
878,يتعذر التنفيذ أثناء القتال لصالح فريق.
879,مسجّل بالفعل في الدردشة الصوتية للفريق.
880,غير مسجّل في الدرشة الصوتية.
881,خطأ في صوت أبولو.
882,لم تتم مشاركة مهمة الفريق.
883,مستوى اللاعب ليس عاليًا بالقدر الكافي.
884,مجند بالفعل.
885,يوجد عضو في منطقة يتعذر الوصول إليها.
886,يوجد عضو في الفريق مرات السماح بدخول السرداب لديه غير كافية.
887,يوجد عضو في الفريق لا يستوفي الشروط المطلوبة لدخول السرداب.
888,يتعذر التنفيذ عندما يكون المفريق مكتملاً.
889,يتعذر التنفيذ أثناء دعوة أحد أعضاء الفريق.
890,يمكن الطلب بعد [Time].
891,لقد طلبتَ الانضمام إلى هذا الفريق.
892,قائد الفريق قريب.
893,يوجد عضو في الفريق لا يمكنه ذلك.
894,يتعذر الانضمام إلى هذا الفريق.
901,هذا المعرف لقبيلة غير موجودة أو لقبيلة مختلفة.
902,طول اسم القبيلة غير صحيح.
903,هناك بالفعل قبيلة تحمل نفس الاسم.
904,في قبيلة بالفعل.
905,ليس في قبيلة حتى الآن.
906,ليست لديك سلطة القبيلة.
907,هذه القبيلة غير معلنَة.
908,طلب الانضمام بالفعل.
909,لم يطلب الانضمام إلى القبيلة بعد.
910,لا يمكنك قبول المزيد من أعضاء القبيلة.
911,ينطبق فقط على أعضاء القبيلة ذوي الفئة المنخفضة.
912,لا يمكن التبرع بهذه العملة.
913,حساب التبرع غير صحيح.
914,تم بالفعل الإدلاء بصوت للمحاكمة.
915,لقد قمت بالفعل بتسجيل الوصول إلى القبيلة.
916,يتعذر إلقاء المزيد من التحية على القبيلة.
917,لقد ألقيت التحية بالفعل على هذا اللاعب.
918,عملات القبيلة غير كافية.
919,معرف دعم القبيلة غير صحيح.
920,لديه بالفعل دعم هذه القبيلة.
921,معرف معلومات القلعة غير صحيح.
922,عملة أدينا الخاصة بالقبيلة غير كافية.
923,يتعذر الاكتساب بعد الآن.
924,معرف معلومات شعار القبيلة غير صحيح.
925,يتعذر منح المزيد من فئة القبيلة هذه.
926,لا توجد قبيلة.
927,حليف بالفعل.
928,تم إرسال طلب تحالف بالفعل.
929,لم تتم دعوتك إلى قبيلة.
930,ليست قبيلة حليفة.
931,يتعذر تكوين المزيد من التحالفات.
932,لا تستطيع هذه القبيلة تكوين المزيد من التحالفات.
933,لا يمكن لرئيس القبيلة مغادرتها.
934,لا يمكن تسجيل المزيد من القبائل المعادية.
935,قبيلة معادية بالفعل.
936,ليست قبيلة معادية.
937,لا تتوفر الحرب ضد قبيلة معادية.
938,يتعذر حذف القبيلة المعادية.
939,يتعذر الاستسلام لقبيلة معادية.
940,لا يوجد دعم للقبيلة.
941,يتعذر التحالف مع القبائل المعادية.
942,تتعذر معاداة القبائل الحليفة.
943,يجب عليك إدخال سعر أعلى من الحد الأدنى لسعر الشراء.
944,يتعذر استخدام هذه الميزة لأن مستوى القبيلة منخفض جدًا.
945,يتعذر إعلان القبيلة المقابلة كقبيلة معادية لأن مستواها منخفض جدًا.
946,"لقد ارتفع مستوى السماح بالانضمام.
يتعذر طلب الانضمام."
947,"لقد تم تغيير نوع الانضمام لطلب الموافقة.
يتعذر طلب الانضمام."
948,لقد بلغت الحد اليومي من التبرعات.
949,لا توجد عملات حياة كافية.
950,تم شراء أقصى كمية مسموح بها في اليوم.
951,لا يمكنك قبول المزيد من طلبات الانضمام.
952,اسم القبيلة غير صحيح.
953,لا يمكنك تضمين مسافات في أسماء القبائل.
954,لكي يتم تدمير القبيلة، يجب أن يتركها كل أعضائها.
955,تتعذر المشاركة في أنشطة القبيلة بسبب عقوبات ترك القبيلة ومعاودة الانضمام إليها.
956,عضو في قبيلة بالفعل.
957,@GuildJoined
958,تم تسجيل كل القبائل المعادية.
959,Not the Clan leader.
960,تم شراء أقصى كمية مسموح بها في الأسبوع.
961,تم شراء أقصى كمية مسموح بها في الشهر.
962,يتعذر طرد الأعضاء رفيعي الشأن.
963,لم يكمل هذا المستخدم البرنامج التعليمي للقبيلة حتى الآن.
964,يتعذر تسجيل المزيد من القبائل المعادية بعد الآن.
965,يتعذر الشراء لعدم كفاية عملات الحياة الخاصة بالقبيلة.
966,"يتعذر الانضمام إلى القبيلة أو مغادرتها أو تدميرها،
أو تفويض رئيس لها أثناء حصار القلعة."
967,"يتعذر الانضمام إلى القبيلة أو مغادرتها أو تدميرها،
أو تفويض رئيس لها أثناء حصار الحصن."
968,سرداب القبيلة هذا غير متوفر.
969,لستَ عضو قبيلة مؤهلاً.
970,تم بالفعل إخلاء سرداب القبيلة هذا.
971,وصل إلى حساب إعادة التعيين.
972,لم يتم إخلاء سرداب القبيلة هذا حتى الآن.
973,لا توجد أحجار نجمية حمراء كافية.
974,لا تتوفر مكافأة تسجيل دخول القبيلة.
975,لا يتوفر تسجيل دخول إلى القبيلة.
976,لقد استحققت بالفعل مكافأة تسجيل دخول القبيلة.
977,لم يقم عضو القبيلة هذا بتسجيل الدخول لفترة طويلة.
978,إما قبيلة غير موجودة أو غير مسجلة.
1001,معرف البوابة غير صحيح.
1002,يتعذر التحكم.
1101,فشل تقديم عطاء بشأن حصار القلعة.
1102,فشل إلغاء تقديم عطاء بشأن حصار القلعة.
1103,حصار القلعة غير صحيح.
1104,لا توجد معلومات عن تقديم عطاء بشأن حصار القلعة.
1105,كوبون مهرجان حصار القلعة غير كافٍ.
1106,لا توجد قسائم لمهرجان حصار القلعة.
1107,لا توجد عملة تكفي لتقديم عطاء.
1108,الوقت غير مناسب لتقديم عطاء.
1109,تم بالفعل تقديم عطاء تمديد.
1110,فتحة مهرجان حصار القلعة غير صحيحة.
1111,يمكن فقط للقبائل التي نجحت في المزايدة الدخول.
1112,يتعذر حاليًا الحصول على مكافأة القسيمة.
1113,حصار القلعة ليس قيد التقدم.
1114,يتعذر تقديم عطاء بنفس المبلغ.
1115,لا يمكنك الانتقال إلى حصار القلعة من هذا العالم.
1116,لا توجد قبيلة محتلة.
1117,لا يوجد تاريخ لحصار القلعة.
1118,مهرجان حصار القلعة غير نشط الآن.
1119,يتعذر الشراء لأنه ما من قبيلة قامت بالغزو أو بتقديم عطاء بشأن القبيلة.
1151,فشل في المزايدة.
1152,فشل في إلغاء العطاء.
1153,تسجيل حصار الحصن غير صحيح.
1154,لا توجد معلومات عن عطاء حصار الحصن.
1155,معلومات المقاطعة غير صحيحة.
1156,معرف معلومات الحصن غير صحيح.
1157,القبائل التي تملك قلاعًا لا يمكنها تقديم عطاء.
1158,حصار الحصن ليس قيد التقدم.
1159,هذه القبيلة لم تشارك في حصار الحصن.
1160,فقط القبائل التي احتلت قلاعًا يمكنها الشراء.
1161,فقط القبائل التي احتلت حصونًا يمكنها الشراء.
1162,القبائل التي تملك حصونًا لا يمكنها تقديم عطاء.
1190,"فقط أعضاء القبيلة الذين شاركوا في حصار القلعة أو
أو حصار الحصن يمكنهم التسجيل."
1201,سعر غير صحيح.
1202,@InvalidName
1203,لا توجد عناصر يمكن استخدامها.
1204,حالة غير صحيحة.
1205,يجب أن يكون عنصرًا محصورًا.
1206,هذا هو البائع.
1207,لا توجد نتائج بحث.
1208,يتعذر تسجيل هذا النوع.
1209,تم البيع بالفعل.
1210,تجاوز عدد التسجيلات المسموح بها.
1211,رتبة العنصر غير متوافقة.
1212,لا يوجد اسم وفئة ذات صلة.
1213,لا يوجد اسم ورتبة ذات صلة.
1214,لا توجد عملات أدينا كافية للتسجيل في المحطة التجارية.
1215,قائمة المحطة التجارية المفضلة ممتلئة.
1216,عنصر مفضلة مطابق.
1217,لا توجد عناصر مفضلة.
1218,يتعذر تسجيل هذا العنصر.
1219,تم التزويد بالبلورة المسكونة.
1220,تم بلوغ الحد الأقصى من العناصر التي يمكن تسجيلها.
1221,كمية المحطة التجارية غير كافية
1222,تم بيع أجزاء من هذا العنصر.
1301,معرف العنصر غير صحيح.
1302,عنصر الشراء غير صحيح.
1303,نوع العملة غير صحيح.
1304,نوع السحب غير صحيح.
1305,لا يمكنك شراء عنصر الشراء الأولي.
1306,يتعذر الشراء أثناء فترة التوقف.
1307,تم تجاوز عدد عمليات الشراء اليومية المسموح بها.
1308,تم تجاوز عدد عمليات الشراء الأسبوعية المسموح بها.
1309,تم تجاوز عدد عمليات الشراء الشهرية المسموح بها.
1310,ليس بالوقت المناسب للشراء.
1332,تم إتمام بيع هذا العنصر.
1311,يتعذر الحصول على هذا العنصر مجانًا.
1312,يتم بالفعل استخدام نفس نوع الحزمة الشهرية.
1313,لم تحصل على مكافأة الحزمة الشهرية لمرات كافية.
1314,طلب غير صالح.
1315,نوع علامة تبويب العنصر الذي تم شراؤه غير متوافق.
1316,تم بالفعل استخدام عنصر دخل دائم.
1317,معرف معلومات مكافأة المتجر غير صحيح.
1318,ليست الفترة المناسبة لحدث مكافأة المتجر الإضافية.
1319,نوع مكافأة المتجر غير صحيح.
1320,لا توجد مكافآت للحصول عليها.
1321,تم تجديد فترة الحدث. إعادة تحميل.
1322,ليس لاعبًا عائدًا.
1323,ليس لاعبًا جديدًا.
1324,لقد انتهت فترة البيع.
1325,تم بيع العنصر.
1326,لم يتم الوفاء بشروط الشراء.
1327,فشل الشراء.
1328,نوع مكافأة عنصر الدخل الدائم غير صحيح.
1329,طلب خدمة العملاء.
1330,معرف المعلومات الذكية المنبثقة غير صحيح.
1331,تم بيع العنصر المحدود.
1401,معرف السرداب غير صحيح.
1402,تم استنفاد مرات الدخول إلى السرداب.
1403,لا يتوفر الدخول المجاني إلى السراديب اليومية إلا في الأيام المحددة.
1404,فشل في إخلاء السرداب.
1405,لستَ في سرداب.
1406,"لا يمكنك الدخول إلى برج الغطرسة لأنك
استنفدت مرات الدخول."
1407,لم يتم إخلاء السرداب حتى الآن.
1408,يتعذر استخدام الإخلاء التلقائي.
1409,يتعذر الدخول إلى السراديب اليومية مجانًا.
1410,يتعذر استخراج المزيد.
1411,معلومات مهمة السرداب غير صحيحة.
1412,لم تكتمل مهمة السرداب بعد.
1413,لقد حصلتَ على مكافأة بالفعل نظير إخلاء هذا السرداب.
1414,نقاط مهمة السرداب لا تكفي للحصول على مكافآت.
1415,لا يزال هناك وقت متبقٍ للوقت الإضافي للسرداب.
1416,لا توجد مرات إعادة شحن تكفي الوقت الإضافي للسرداب.
1417,يتوفر الإخلاء التلقائي بعد مهمات الإخلاء الأولي لسرداب المتميزين.
1418,تم استنفاد مرات الدخول إلى السرداب اليومي.
1419,الإخلاء التلقائي غير متوفر لأن فئة إخلاء السرداب منخفضة للغاية. قم بترقية الفئة وحاول مرة أخرى.
1420,لا يمكنك الانتقال إلى السرداب من العالم الحالي.
1421,لا يزال هناك فرص لدخول السراديب اليومية.
1422,لا يمكنك الدخول إلى هذا السرداب اليومي بعد الآن.
1423,تم استنفاد مرات السماح بالدخول إلى السرداب.
1424,يتعذر الدخول إلى هذا السرداب.
1425,توجد مرات متبقية للدخول إلى السرداب.
1426,لقد استنفدت كل الفرص لدفع ثمن إعادة الشحن.
1501,حالة لاعب ضد لاعب غير صحيحة.
1502,لقد تغيرت فئتك.
1503,لقد تغيرت فئة الهدف.
1504,حالة الهدف هي مستعد للقتال.
1505,لقد تمت مهاجمتك في معركة لاعب ضد لاعب.
1506,لا توجد بطاقات كافية لدخول معركة لاعب ضد لاعب.
1507,لستَ في الميدان.
1508,لم يتم تأكيد معركة لاعب ضد لاعب.
1509,ليست حالة قتل لاعب.
1510,قائمة الإبادة ممتلئة.
1511,يتعذر العثور عليه من قائمة الإبادة.
1512,هذا اللاعب مسجل بالفعل.
1513,السلاح غير مجهز.
1514,تم الحصول على المكافأة بالفعل.
1515,لا توجد فئة ميدان.
1516,لا توجد مكافأة ميدان.
1517,يتعذر شراء المزيد من تذاكر لاعب ضد لاعب.
1518,هدف المبارزة غير صحيح.
1551,مهمة نقل التصنيف قيد التقدم بالفعل.
1552,لا تزال مهمة نقل التصنيف قيد التقدم.
1553,لا تزال هناك مكافأة على نقل التصنيف.
1554,يتعذر الإتمام.
1555,يتعذر الحصول على مكافآت.
1556,معرف مهمة نقل التصنيف غير صحيح.
1601,مهمة مكتملة بالفعل.
1602,@NotCompeletableStateMissionRequest
1603,@InvalidQuestInfoId
1604,معرف مكافأة المهمة غير صحيح.
1701,معرف البرنامج التعليمي غير صحيح.
1702,فشل تشغيل البرنامج التعليمي.
1703,مرحلة البرنامج التعليمي غير صحيحة.
1704,@TutorialWorldAcquireFailed
1705,لقد اكتملت مرحلة البرنامج التعليمي.
1706,لقد حصلت بالفعل على مادة البرنامج التعليمي.
1707,لم يبدأ البرنامج التعليمي بعد.
1708,البرنامج التعليمي الإلزامي قيد التقدم.
